20180826,增城,增江,敏捷锦绣星辰,16885元/m2,1套在售二手房
20180826,增城,增江,时代天启,暂无,0套在售二手房
20180826,增城,增江,金时花园,暂无,0套在售二手房
20180826,增城,增江,学府雅苑,8062元/m2,0套在售二手房
20180826,增城,增江,同创滨江,暂无,0套在售二手房
20180826,增城,增江,碧桂园东湖1号,暂无,0套在售二手房
20180826,增城,增江,金凤皇庭,15131元/m2,0套在售二手房
20180826,增城,增江,公园里（春晓花园）,暂无,0套在售二手房
20180826,增城,增江,敏捷莱茵花园,19454元/m2,0套在售二手房
20180826,增城,增江,增城一品山湖,暂无,0套在售二手房
20180826,增城,增江,绿地珑玥府,暂无,0套在售二手房
20180826,增城,增江,保利合锦领秀山,暂无,0套在售二手房
20180826,增城,增江,时代倾城,暂无,0套在售二手房
20180826,增城,增江,增江街,6858元/m2,0套在售二手房
20180826,增城,增江,碧桂园荔园,16085元/m2,0套在售二手房
