20180826,大鹏新区,大鹏半岛,承翰半山海,29034元/m2,39套在售二手房
20180826,大鹏新区,大鹏半岛,海语山林,31009元/m2,11套在售二手房
20180826,大鹏新区,大鹏半岛,PURE33璞岸,31804元/m2,11套在售二手房
20180826,大鹏新区,大鹏半岛,金众云山栖,45396元/m2,9套在售二手房
20180826,大鹏新区,大鹏半岛,万科十七英里,60554元/m2,1套在售二手房
20180826,大鹏新区,大鹏半岛,亚迪村,24880元/m2,2套在售二手房
20180826,大鹏新区,大鹏半岛,KPR佳兆业广场,32121元/m2,20套在售二手房
20180826,大鹏新区,大鹏半岛,鹏海苑小区,22590元/m2,3套在售二手房
20180826,大鹏新区,大鹏半岛,东丽观海山庄,26691元/m2,2套在售二手房
20180826,大鹏新区,大鹏半岛,华兴新村,19291元/m2,0套在售二手房
20180826,大鹏新区,大鹏半岛,承翰陶柏莉,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,华侨海景山庄,40892元/m2,1套在售二手房
20180826,大鹏新区,大鹏半岛,三科麓湾,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,东部明珠雅苑,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,鑫园广场,32433元/m2,0套在售二手房
20180826,大鹏新区,大鹏半岛,德华花园,25837元/m2,2套在售二手房
20180826,大鹏新区,大鹏半岛,坝光新村一区,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,龙岐湾1号,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,莱蒙水榭蓝湾,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,千禧大厦,暂无,1套在售二手房
20180826,大鹏新区,大鹏半岛,坝光新村二区,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,名墅海景,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,滨海盛世名苑,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,山海间,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,凯旋湾花园二期,暂无,1套在售二手房
20180826,大鹏新区,大鹏半岛,金海滩,37847元/m2,2套在售二手房
20180826,大鹏新区,大鹏半岛,叠福村,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,枫球山花园,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,南澳水头沙花园,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,绿景天玺湾项目,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,文华花园大鹏半岛,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,潮歌苑,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,二三南苑,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,海滨阳光园,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,建设路16号,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,建设路17号,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,金沙苑,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,岭澳花园,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,山海苑,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,王母围北三巷,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,医院新村,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,凯旋湾花园三期,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,宝佳花园,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,中国比克,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,山海名苑,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,布新统建楼,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,龙岭花园,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,海岸新城,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,大鹏山莊,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,金葵丰花园,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,溢馨院,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,雲海之家,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,苏州热工院大亚湾基地生活营地,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,鹏海小区,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,滨海雅苑,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,嶺吓花園,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,岭澳东部湾公寓,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,绿景天玺湾项目,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,凯旋湾花园三期,暂无,0套在售二手房
20180826,大鹏新区,大鹏半岛,曼湾广场,暂无,0套在售二手房
