20180826,南山区,大学城,南国丽城,59936元/m2,7套在售二手房
20180826,南山区,大学城,水木丹华,72296元/m2,2套在售二手房
20180826,南山区,大学城,官龙名苑,56184元/m2,1套在售二手房
20180826,南山区,大学城,学子荔园,37182元/m2,8套在售二手房
20180826,南山区,大学城,宝能华府,75132元/m2,2套在售二手房
20180826,南山区,大学城,华晖云门,84015元/m2,4套在售二手房
20180826,南山区,大学城,德意名居一期,67136元/m2,11套在售二手房
20180826,南山区,大学城,博林天瑞,73040元/m2,24套在售二手房
20180826,南山区,大学城,西湖林语,72601元/m2,6套在售二手房
20180826,南山区,大学城,塘朗城广场东区,61773元/m2,9套在售二手房
20180826,南山区,大学城,天悦湾花园,92489元/m2,1套在售二手房
20180826,南山区,大学城,桑泰丹华,74099元/m2,5套在售二手房
20180826,南山区,大学城,宝能城,98900元/m2,5套在售二手房
20180826,南山区,大学城,崇文花园,暂无,0套在售二手房
20180826,南山区,大学城,德意名居二期,64831元/m2,0套在售二手房
20180826,南山区,大学城,鼎胜金域世家,87998元/m2,3套在售二手房
20180826,南山区,大学城,学城绿园,50735元/m2,1套在售二手房
20180826,南山区,大学城,桑泰丹华一期,84032元/m2,2套在售二手房
20180826,南山区,大学城,丽雅苑,暂无,0套在售二手房
20180826,南山区,大学城,丽岛茗园,61771元/m2,0套在售二手房
20180826,南山区,大学城,西丽湖度假村,暂无,0套在售二手房
20180826,南山区,大学城,西丽山庄,93707元/m2,0套在售二手房
20180826,南山区,大学城,平丽花园,暂无,0套在售二手房
20180826,南山区,大学城,鹤祥苑,46021元/m2,0套在售二手房
20180826,南山区,大学城,丽新花园,暂无,0套在售二手房
20180826,南山区,大学城,蓝天花园,暂无,0套在售二手房
20180826,南山区,大学城,朗麓家园,暂无,0套在售二手房
20180826,南山区,大学城,新华大厦,暂无,0套在售二手房
20180826,南山区,大学城,留仙居南A区,暂无,0套在售二手房
20180826,南山区,大学城,留仙居南区,暂无,0套在售二手房
20180826,南山区,大学城,京基御景峯,暂无,0套在售二手房
20180826,南山区,大学城,麒麟苑,暂无,0套在售二手房
20180826,南山区,大学城,莺新花园,暂无,0套在售二手房
20180826,南山区,大学城,丽岛花园,暂无,0套在售二手房
20180826,南山区,大学城,众冠时代广场,暂无,0套在售二手房
20180826,南山区,大学城,留仙居北区,暂无,0套在售二手房
20180826,南山区,大学城,硅谷人才公寓,暂无,0套在售二手房
20180826,南山区,大学城,腾飞苑,暂无,0套在售二手房
20180826,南山区,大学城,长源村旧改,暂无,0套在售二手房
20180826,南山区,大学城,城市公寓,暂无,0套在售二手房
20180826,南山区,大学城,西丽书店综合楼,暂无,1套在售二手房
20180826,南山区,大学城,新围综合楼,暂无,0套在售二手房
20180826,南山区,大学城,嘉兴苑,暂无,0套在售二手房
20180826,南山区,大学城,兴园居,暂无,0套在售二手房
20180826,南山区,大学城,旺棠工业区,暂无,0套在售二手房
20180826,南山区,大学城,新世界花园,暂无,0套在售二手房
20180826,南山区,大学城,759城市公寓,暂无,0套在售二手房
20180826,南山区,大学城,南山云谷2期,暂无,0套在售二手房
20180826,南山区,大学城,塘朗新村,暂无,0套在售二手房
20180826,南山区,大学城,留仙茗苑,暂无,0套在售二手房
20180826,南山区,大学城,留仙公館,暂无,0套在售二手房
20180826,南山区,大学城,长源花园,暂无,0套在售二手房
20180826,南山区,大学城,民企科技园,暂无,0套在售二手房
20180826,南山区,大学城,中集菁英家园,暂无,0套在售二手房
20180826,南山区,大学城,民企科技园,暂无,0套在售二手房
20180826,南山区,大学城,金骐智谷大厦,暂无,0套在售二手房
20180826,南山区,大学城,留仙洞大厦,暂无,0套在售二手房
