20180826,光明新区,公明,光明1号,40809元/m2,10套在售二手房
20180826,光明新区,公明,宏发嘉域,33672元/m2,2套在售二手房
20180826,光明新区,公明,光明峰荟,39111元/m2,5套在售二手房
20180826,光明新区,公明,福盈中央山,34887元/m2,0套在售二手房
20180826,光明新区,公明,光明大第,46453元/m2,1套在售二手房
20180826,光明新区,公明,天汇城,暂无,0套在售二手房
20180826,光明新区,公明,深房传麒山西区,55589元/m2,0套在售二手房
20180826,光明新区,公明,宏发上域,45035元/m2,1套在售二手房
20180826,光明新区,公明,正兆景嘉园,38686元/m2,0套在售二手房
20180826,光明新区,公明,宏发雍景城,37836元/m2,2套在售二手房
20180826,光明新区,公明,宏发美域,46217元/m2,1套在售二手房
20180826,光明新区,公明,新地中央,暂无,0套在售二手房
20180826,光明新区,公明,南星大厦,24754元/m2,1套在售二手房
20180826,光明新区,公明,深房传麒山东区,47285元/m2,0套在售二手房
20180826,光明新区,公明,中粮云景国际,暂无,0套在售二手房
20180826,光明新区,公明,奥园峯荟,暂无,0套在售二手房
20180826,光明新区,公明,益田假日府邸,暂无,1套在售二手房
20180826,光明新区,公明,深房传麒山（需要删除的）,104412元/m2,0套在售二手房
20180826,光明新区,公明,融域名城,暂无,0套在售二手房
20180826,光明新区,公明,碧桂园星荟,暂无,0套在售二手房
20180826,光明新区,公明,和润家园,暂无,0套在售二手房
20180826,光明新区,公明,长春花园,暂无,0套在售二手房
20180826,光明新区,公明,百世珑庭,暂无,0套在售二手房
20180826,光明新区,公明,远恒佳教师公寓,暂无,0套在售二手房
20180826,光明新区,公明,楼村花园,暂无,0套在售二手房
20180826,光明新区,公明,勤诚达正大城,暂无,0套在售二手房
20180826,光明新区,公明,御景新城,暂无,0套在售二手房
20180826,光明新区,公明,伟林雅苑,暂无,0套在售二手房
20180826,光明新区,公明,广雅花园,暂无,0套在售二手房
20180826,光明新区,公明,广雅花园,暂无,0套在售二手房
20180826,光明新区,公明,富安花园,暂无,0套在售二手房
20180826,光明新区,公明,觀山88號院,暂无,0套在售二手房
20180826,光明新区,公明,卫光花园,暂无,0套在售二手房
20180826,光明新区,公明,根竹园花园,暂无,0套在售二手房
20180826,光明新区,公明,美庭花园,暂无,0套在售二手房
20180826,光明新区,公明,富安花园二期,暂无,0套在售二手房
20180826,光明新区,公明,新围花园,暂无,0套在售二手房
20180826,光明新区,公明,中泰花园,暂无,0套在售二手房
20180826,光明新区,公明,东宝华庭,暂无,0套在售二手房
20180826,光明新区,公明,光明街道清怡小区,暂无,0套在售二手房
20180826,光明新区,公明,牛山路15号,暂无,0套在售二手房
20180826,光明新区,公明,星悦居,暂无,0套在售二手房
20180826,光明新区,公明,景湖壹号,暂无,0套在售二手房
20180826,光明新区,公明,雅庭居花园,暂无,0套在售二手房
20180826,光明新区,公明,吉祥名苑,暂无,0套在售二手房
20180826,光明新区,公明,将石佳园,暂无,0套在售二手房
20180826,光明新区,公明,楼村花园二期,暂无,0套在售二手房
20180826,光明新区,公明,九紫东景,暂无,0套在售二手房
20180826,光明新区,公明,合众豪庭,暂无,0套在售二手房
20180826,光明新区,公明,沁园楼,暂无,0套在售二手房
20180826,光明新区,公明,中裕大厦,暂无,0套在售二手房
20180826,光明新区,公明,牛山路13号,暂无,0套在售二手房
20180826,光明新区,公明,海悦花园,暂无,0套在售二手房
20180826,光明新区,公明,光明中心城,暂无,0套在售二手房
20180826,光明新区,公明,星湖明居,暂无,0套在售二手房
20180826,光明新区,公明,侨新花园,暂无,0套在售二手房
20180826,光明新区,公明,阳光雅苑小区,暂无,0套在售二手房
20180826,光明新区,公明,华明苑,暂无,0套在售二手房
20180826,光明新区,公明,幸福·花园里,暂无,0套在售二手房
20180826,光明新区,公明,轩苑居,暂无,0套在售二手房
20180826,光明新区,公明,祺園,暂无,0套在售二手房
20180826,光明新区,公明,秋园雅苑,暂无,0套在售二手房
20180826,光明新区,公明,嘉陽楼,暂无,0套在售二手房
20180826,光明新区,公明,美景花园,暂无,0套在售二手房
20180826,光明新区,公明,碧雅苑,暂无,0套在售二手房
20180826,光明新区,公明,胜富楼,暂无,0套在售二手房
20180826,光明新区,公明,马田第一花园,暂无,0套在售二手房
20180826,光明新区,公明,明爱楼,暂无,0套在售二手房
20180826,光明新区,公明,锦鸿花园,暂无,0套在售二手房
20180826,光明新区,公明,明景园,暂无,0套在售二手房
20180826,光明新区,公明,怡景花园,暂无,0套在售二手房
20180826,光明新区,公明,伟业轩大厦,暂无,0套在售二手房
20180826,光明新区,公明,胜富楼,暂无,0套在售二手房
20180826,光明新区,公明,星湖明居,暂无,0套在售二手房
