20180826,龙岗区,龙岗宝荷,振业峦山谷,34456元/m2,92套在售二手房
20180826,龙岗区,龙岗宝荷,金众蓝钻风景,25576元/m2,30套在售二手房
20180826,龙岗区,龙岗宝荷,振业天峦,35510元/m2,62套在售二手房
20180826,龙岗区,龙岗宝荷,仁恒峦山美地,44359元/m2,15套在售二手房
20180826,龙岗区,龙岗宝荷,金地名峰,37719元/m2,44套在售二手房
20180826,龙岗区,龙岗宝荷,卓弘高尔夫雅苑,44711元/m2,17套在售二手房
20180826,龙岗区,龙岗宝荷,御林,37197元/m2,10套在售二手房
20180826,龙岗区,龙岗宝荷,中信高尔夫别墅栖湖,57803元/m2,5套在售二手房
20180826,龙岗区,龙岗宝荷,悦龙华府,暂无,0套在售二手房
20180826,龙岗区,龙岗宝荷,荷谷美苑,暂无,0套在售二手房
20180826,龙岗区,龙岗宝荷,中信高尔夫别墅天籁,68931元/m2,3套在售二手房
20180826,龙岗区,龙岗宝荷,宝荷欣苑,暂无,0套在售二手房
20180826,龙岗区,龙岗宝荷,经富园,暂无,0套在售二手房
20180826,龙岗区,龙岗宝荷,京基南约项目,暂无,0套在售二手房
20180826,龙岗区,龙岗宝荷,景园公寓,暂无,0套在售二手房
20180826,龙岗区,龙岗宝荷,丽江花园,暂无,0套在售二手房
20180826,龙岗区,龙岗宝荷,恒岳楼,暂无,0套在售二手房
20180826,龙岗区,龙岗宝荷,美岸新苑,暂无,0套在售二手房
20180826,龙岗区,龙岗宝荷,乐园楼,暂无,0套在售二手房
20180826,龙岗区,龙岗宝荷,怡瑞达乐郡,暂无,0套在售二手房
