20180826,龙岗区,坪地,中信龙盛广场,32174元/m2,6套在售二手房
20180826,龙岗区,坪地,中骏四季阳光一期,35998元/m2,9套在售二手房
20180826,龙岗区,坪地,中骏四季阳光二期,31866元/m2,18套在售二手房
20180826,龙岗区,坪地,金阳成,31012元/m2,10套在售二手房
20180826,龙岗区,坪地,创城宜城风景,32744元/m2,8套在售二手房
20180826,龙岗区,坪地,西湖苑,32362元/m2,3套在售二手房
20180826,龙岗区,坪地,中航鼎尚华庭,27880元/m2,2套在售二手房
20180826,龙岗区,坪地,恒裕嘉城,35347元/m2,2套在售二手房
20180826,龙岗区,坪地,牧云溪谷,暂无,0套在售二手房
20180826,龙岗区,坪地,东鸿雅居,38327元/m2,0套在售二手房
20180826,龙岗区,坪地,柠檬时代,36362元/m2,0套在售二手房
20180826,龙岗区,坪地,富民阁,27378元/m2,1套在售二手房
20180826,龙岗区,坪地,张秀琼私宅,17312元/m2,0套在售二手房
20180826,龙岗区,坪地,融富花园,暂无,0套在售二手房
20180826,龙岗区,坪地,中骏四季阳光三期,暂无,0套在售二手房
20180826,龙岗区,坪地,福地花园,暂无,0套在售二手房
20180826,龙岗区,坪地,怡心社区,暂无,0套在售二手房
20180826,龙岗区,坪地,怡园小区,暂无,0套在售二手房
20180826,龙岗区,坪地,聚福大厦,暂无,0套在售二手房
20180826,龙岗区,坪地,丁山河畔,暂无,0套在售二手房
20180826,龙岗区,坪地,世纪城,暂无,0套在售二手房
20180826,龙岗区,坪地,懿祥花园,暂无,0套在售二手房
20180826,龙岗区,坪地,富华苑,暂无,0套在售二手房
20180826,龙岗区,坪地,丰顺小区A区,暂无,0套在售二手房
20180826,龙岗区,坪地,创兴家园,暂无,0套在售二手房
20180826,龙岗区,坪地,泥坡小区,暂无,0套在售二手房
20180826,龙岗区,坪地,怡广小区,暂无,0套在售二手房
20180826,龙岗区,坪地,李屋村,暂无,0套在售二手房
20180826,龙岗区,坪地,泰和花园,暂无,0套在售二手房
20180826,龙岗区,坪地,梨园村,暂无,0套在售二手房
20180826,龙岗区,坪地,罗屋村,暂无,0套在售二手房
20180826,龙岗区,坪地,西湖苑金豪阁,暂无,0套在售二手房
