20180826,坪山区,坪山,中粮一品澜山花园,26036元/m2,18套在售二手房
20180826,坪山区,坪山,丹梓龙庭,22657元/m2,4套在售二手房
20180826,坪山区,坪山,深业东城上邸,33309元/m2,3套在售二手房
20180826,坪山区,坪山,深业东城国际,35912元/m2,8套在售二手房
20180826,坪山区,坪山,万科金域东郡,37033元/m2,7套在售二手房
20180826,坪山区,坪山,金田风华苑,19418元/m2,1套在售二手房
20180826,坪山区,坪山,万科金域缇香二期,53390元/m2,5套在售二手房
20180826,坪山区,坪山,坪山首座,25063元/m2,11套在售二手房
20180826,坪山区,坪山,深业御园,26395元/m2,5套在售二手房
20180826,坪山区,坪山,京基御景印象四期,36108元/m2,10套在售二手房
20180826,坪山区,坪山,万科金域缇香,37960元/m2,9套在售二手房
20180826,坪山区,坪山,京基御景印象三期,38855元/m2,8套在售二手房
20180826,坪山区,坪山,金地朗悦,34805元/m2,11套在售二手房
20180826,坪山区,坪山,盈富家园,23295元/m2,5套在售二手房
20180826,坪山区,坪山,东津名座,29883元/m2,3套在售二手房
20180826,坪山区,坪山,坪山招商花园城南区,38222元/m2,10套在售二手房
20180826,坪山区,坪山,东方威尼斯花园,29815元/m2,2套在售二手房
20180826,坪山区,坪山,大东城二期,49906元/m2,11套在售二手房
20180826,坪山区,坪山,豪方菁园,39965元/m2,8套在售二手房
20180826,坪山区,坪山,六和城,34432元/m2,14套在售二手房
20180826,坪山区,坪山,京基御景印象二期,35866元/m2,5套在售二手房
20180826,坪山区,坪山,京基御景印象一期,36990元/m2,1套在售二手房
20180826,坪山区,坪山,力高君御国际,39651元/m2,11套在售二手房
20180826,坪山区,坪山,坪山招商花园城北区,37445元/m2,4套在售二手房
20180826,坪山区,坪山,天峦湖,35541元/m2,6套在售二手房
20180826,坪山区,坪山,深城投中心公馆,暂无,0套在售二手房
20180826,坪山区,坪山,祥祺滨河名苑,34116元/m2,3套在售二手房
20180826,坪山区,坪山,泰富华庭,29559元/m2,0套在售二手房
20180826,坪山区,坪山,八克拉,20692元/m2,3套在售二手房
20180826,坪山区,坪山,奥园翡翠东湾,暂无,0套在售二手房
20180826,坪山区,坪山,龙光玖云著,暂无,0套在售二手房
20180826,坪山区,坪山,竹韵花园,暂无,0套在售二手房
20180826,坪山区,坪山,大东城一期,51727元/m2,3套在售二手房
20180826,坪山区,坪山,汤亨花园,暂无,0套在售二手房
20180826,坪山区,坪山,亚迪三村,暂无,0套在售二手房
20180826,坪山区,坪山,万顺苑,暂无,0套在售二手房
20180826,坪山区,坪山,光祖中学教师宿舍楼,暂无,0套在售二手房
20180826,坪山区,坪山,翰林苑,暂无,0套在售二手房
20180826,坪山区,坪山,倚湖居,暂无,0套在售二手房
20180826,坪山区,坪山,燕子岭生活区,暂无,0套在售二手房
20180826,坪山区,坪山,信达泰禾金尊府,暂无,0套在售二手房
20180826,坪山区,坪山,顺发大厦,暂无,0套在售二手房
20180826,坪山区,坪山,梓兴花园,暂无,0套在售二手房
20180826,坪山区,坪山,莹展花園,暂无,0套在售二手房
20180826,坪山区,坪山,幸福时光,暂无,0套在售二手房
20180826,坪山区,坪山,溢源楼,暂无,0套在售二手房
20180826,坪山区,坪山,溢丰楼,暂无,0套在售二手房
20180826,坪山区,坪山,隨園公寓,暂无,0套在售二手房
20180826,坪山区,坪山,聚龙花园一期,暂无,0套在售二手房
20180826,坪山区,坪山,震雄公寓,暂无,0套在售二手房
20180826,坪山区,坪山,碧桂园凤凰国际公馆,暂无,0套在售二手房
20180826,坪山区,坪山,天峦湖二期,暂无,0套在售二手房
20180826,坪山区,坪山,科技楼,暂无,0套在售二手房
20180826,坪山区,坪山,正山商业大厦,暂无,0套在售二手房
20180826,坪山区,坪山,坑梓秀山新村,暂无,0套在售二手房
20180826,坪山区,坪山,豪方东园,暂无,0套在售二手房
20180826,坪山区,坪山,汤坑第一工业区,暂无,0套在售二手房
20180826,坪山区,坪山,新湖居别墅,暂无,0套在售二手房
20180826,坪山区,坪山,泰富华悦都会,暂无,0套在售二手房
20180826,坪山区,坪山,华瀚科技工业园生活区,暂无,0套在售二手房
20180826,坪山区,坪山,启兴生活区,暂无,0套在售二手房
20180826,坪山区,坪山,翠峰绿洲,暂无,0套在售二手房
20180826,坪山区,坪山,奥园翡翠东湾二期,暂无,0套在售二手房
20180826,坪山区,坪山,同德居,暂无,0套在售二手房
20180826,坪山区,坪山,中集花园,暂无,0套在售二手房
