20180826,宝安区,石岩,宏发世纪城二期,48680元/m2,10套在售二手房
20180826,宝安区,石岩,宏发世纪城一期,47563元/m2,1套在售二手房
20180826,宝安区,石岩,如意豪庭,39185元/m2,0套在售二手房
20180826,宝安区,石岩,阳台山庄,35159元/m2,0套在售二手房
20180826,宝安区,石岩,佳华豪苑,暂无,0套在售二手房
20180826,宝安区,石岩,石岩保障性住房,暂无,0套在售二手房
20180826,宝安区,石岩,羊台苑项目,暂无,0套在售二手房
20180826,宝安区,石岩,羊台山壹号,暂无,0套在售二手房
20180826,宝安区,石岩,御康华庭,暂无,0套在售二手房
20180826,宝安区,石岩,官田花园,暂无,0套在售二手房
20180826,宝安区,石岩,松石苑,暂无,0套在售二手房
20180826,宝安区,石岩,恒富花园,暂无,0套在售二手房
20180826,宝安区,石岩,荔景生活区,暂无,0套在售二手房
20180826,宝安区,石岩,景山家园,暂无,0套在售二手房
20180826,宝安区,石岩,星曜名城,暂无,0套在售二手房
20180826,宝安区,石岩,玉山公寓,暂无,0套在售二手房
20180826,宝安区,石岩,学府公寓楼,暂无,0套在售二手房
20180826,宝安区,石岩,河滨花园,暂无,0套在售二手房
20180826,宝安区,石岩,田园阁,暂无,0套在售二手房
20180826,宝安区,石岩,盛世华庭,暂无,0套在售二手房
