20180826,罗湖区,笋岗,嘉宝田花园,62448元/m2,32套在售二手房
20180826,罗湖区,笋岗,祥福雅居,51323元/m2,29套在售二手房
20180826,罗湖区,笋岗,田心庆云花园,48905元/m2,20套在售二手房
20180826,罗湖区,笋岗,华商时代公寓,40829元/m2,10套在售二手房
20180826,罗湖区,笋岗,湖馨苑,61317元/m2,3套在售二手房
20180826,罗湖区,笋岗,时尚新居,42154元/m2,9套在售二手房
20180826,罗湖区,笋岗,笋岗大厦,40703元/m2,10套在售二手房
20180826,罗湖区,笋岗,深城公寓,48885元/m2,18套在售二手房
20180826,罗湖区,笋岗,虹桥星座大厦,52181元/m2,8套在售二手房
20180826,罗湖区,笋岗,嘉景苑,52146元/m2,9套在售二手房
20180826,罗湖区,笋岗,庐江春天公寓,40330元/m2,6套在售二手房
20180826,罗湖区,笋岗,新时速嘉园,53003元/m2,3套在售二手房
20180826,罗湖区,笋岗,田心大厦,43922元/m2,10套在售二手房
20180826,罗湖区,笋岗,铁东小区,42307元/m2,1套在售二手房
20180826,罗湖区,笋岗,中贸大厦,36177元/m2,3套在售二手房
20180826,罗湖区,笋岗,宝龙嘉园,暂无,0套在售二手房
20180826,罗湖区,笋岗,民富楼,39218元/m2,0套在售二手房
20180826,罗湖区,笋岗,兴华小区,39143元/m2,0套在售二手房
20180826,罗湖区,笋岗,金丽花园,51375元/m2,3套在售二手房
20180826,罗湖区,笋岗,桃花园,49432元/m2,2套在售二手房
20180826,罗湖区,笋岗,宝岗花园,44737元/m2,0套在售二手房
20180826,罗湖区,笋岗,春笋楼,49183元/m2,0套在售二手房
20180826,罗湖区,笋岗,MR.91公馆,49420元/m2,0套在售二手房
20180826,罗湖区,笋岗,梨园公寓,53489元/m2,0套在售二手房
20180826,罗湖区,笋岗,五金花园,暂无,0套在售二手房
20180826,罗湖区,笋岗,综合楼,暂无,0套在售二手房
20180826,罗湖区,笋岗,梅园新村,暂无,0套在售二手房
20180826,罗湖区,笋岗,田华苑小区,45672元/m2,0套在售二手房
20180826,罗湖区,笋岗,银山楼,暂无,0套在售二手房
20180826,罗湖区,笋岗,泥岗东路铁路小区,暂无,0套在售二手房
20180826,罗湖区,笋岗,笋岗派出所宿舍,暂无,0套在售二手房
20180826,罗湖区,笋岗,裕华小区,暂无,0套在售二手房
20180826,罗湖区,笋岗,桃园路37号,暂无,0套在售二手房
20180826,罗湖区,笋岗,裕田大楼,暂无,0套在售二手房
20180826,罗湖区,笋岗,粤华楼,暂无,0套在售二手房
20180826,罗湖区,笋岗,粤华奥特城汽配用品市场,暂无,0套在售二手房
20180826,罗湖区,笋岗,宝岗路220铁路小区,暂无,0套在售二手房
20180826,罗湖区,笋岗,田华楼小区,暂无,0套在售二手房
20180826,罗湖区,笋岗,宝岗路,暂无,0套在售二手房
20180826,罗湖区,笋岗,西货场路18号,暂无,0套在售二手房
20180826,罗湖区,笋岗,笋岗仓库综合楼,暂无,0套在售二手房
20180826,罗湖区,笋岗,桃园路183东门,暂无,0套在售二手房
20180826,罗湖区,笋岗,北站路9号,暂无,0套在售二手房
20180826,罗湖区,笋岗,北站路23号,暂无,0套在售二手房
20180826,罗湖区,笋岗,北站路89号,暂无,0套在售二手房
20180826,罗湖区,笋岗,笋岗村183号,暂无,0套在售二手房
20180826,罗湖区,笋岗,大华商务大厦,暂无,0套在售二手房
20180826,罗湖区,笋岗,深业运输大厦,暂无,0套在售二手房
20180826,罗湖区,笋岗,田泰楼,暂无,0套在售二手房
20180826,罗湖区,笋岗,广深铁路生活服务公司深北行车公寓,暂无,0套在售二手房
20180826,罗湖区,笋岗,笋岗中队家属楼,暂无,0套在售二手房
