20180826,增城,凤凰城,翡翠绿洲湖翠苑,4室0厅,245平米,2000
20180826,增城,凤凰城,翡翠绿洲育才阳光苑,3室2厅,130平米,2600
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,100平米,2800
20180826,增城,凤凰城,东凌广场,1室1厅,43平米,1800
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,95平米,3000
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,93平米,2300
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,97平米,1800
20180826,增城,凤凰城,翡翠绿洲湖绣苑,2室1厅,96平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤晴苑,2室2厅,78平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,95平米,3500
20180826,增城,凤凰城,碧桂园凤凰城凤岭苑,3室2厅,121平米,2800
20180826,增城,凤凰城,碧桂园凤凰城凤岭苑,3室2厅,122平米,2300
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,2室2厅,97平米,2200
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,121平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤晴苑,3室2厅,115平米,2700
20180826,增城,凤凰城,翡翠绿洲森林半岛,2室2厅,88平米,2100
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,94平米,3500
20180826,增城,凤凰城,合生湖山国际,3室2厅,90平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,123平米,3500
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,105平米,3000
20180826,增城,凤凰城,碧桂园凤凰城凤仪苑,3室2厅,93平米,2300
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,105平米,2800
20180826,增城,凤凰城,翡翠绿洲森林半岛,2室2厅,93平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤凰岛,2室2厅,105平米,3300
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,107平米,3500
20180826,增城,凤凰城,翡翠绿洲森林半岛,2室2厅,93平米,2300
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,99平米,2700
20180826,增城,凤凰城,碧桂园凤凰城凤天苑,3室2厅,135平米,3000
20180826,增城,凤凰城,翡翠绿洲湖滨苑,2室2厅,95平米,2299.95
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,93平米,2000
