20180826,白云,同德围,雅怡花园,2室1厅,48平米,2000
20180826,白云,同德围,岭南花园,2室1厅,75平米,3000
20180826,白云,同德围,同德花园同雅北街,3室2厅,80平米,2700
20180826,白云,同德围,紫竹苑,2室1厅,77平米,1800
20180826,白云,同德围,岭南花园,5室1厅,136平米,4500
20180826,白云,同德围,泽德花园,3室1厅,65平米,2600
20180826,白云,同德围,泽德花园,1室1厅,40平米,900
20180826,白云,同德围,丽康居,3室1厅,90平米,3500
20180826,白云,同德围,丽康居,3室1厅,96平米,3100
20180826,白云,同德围,岭南花园,2室1厅,75平米,3000
20180826,白云,同德围,积德花园,2室1厅,65平米,2000
20180826,白云,同德围,积德花园,2室1厅,60平米,1800
20180826,白云,同德围,上步花园,2室1厅,50平米,2000
20180826,白云,同德围,上步公安宿舍,1室1厅,40平米,1000
20180826,白云,同德围,上步花园,2室1厅,53平米,1800
20180826,白云,同德围,泽德花园,2室1厅,50平米,2000
20180826,白云,同德围,泽德花园,1室1厅,47平米,1600
20180826,白云,同德围,泽德花园,2室1厅,61平米,2500
20180826,白云,同德围,泽德花园,2室1厅,51平米,1500
20180826,白云,同德围,同德苑,2室1厅,53平米,1500
20180826,白云,同德围,汇怡苑,2室1厅,65平米,2000
20180826,白云,同德围,阳光花园,1室0厅,24平米,1000
20180826,白云,同德围,明德苑,2室1厅,60平米,1600
20180826,白云,同德围,田心明苑,3室1厅,62平米,2600
20180826,白云,同德围,恒德苑,3室1厅,100平米,2500
20180826,白云,同德围,泽德花园,1室1厅,40平米,1500
20180826,白云,同德围,横滘二路,2室1厅,60平米,1300
20180826,白云,同德围,康盈雅园,3室2厅,100平米,3500
20180826,白云,同德围,横滘二路,2室1厅,70平米,2300
20180826,白云,同德围,同德花园同景西街,3室1厅,80平米,2800
20180826,白云,同德围,恒德苑,3室1厅,100平米,2500
20180826,白云,同德围,泽德花园,1室1厅,40平米,1500
20180826,白云,同德围,紫荆苑德棠路,2室1厅,77平米,2100
20180826,白云,同德围,紫荆苑德棠路,2室1厅,77平米,2100
20180826,白云,同德围,同德花园同景街,2室1厅,60平米,1600
20180826,白云,同德围,同德花园同雅北街,3室2厅,100平米,3000
20180826,白云,同德围,国鑫大厦,1室1厅,63平米,2100
20180826,白云,同德围,同德花园同景东街,2室1厅,80平米,2800
20180826,白云,同德围,阳光花园,2室1厅,41平米,1700
20180826,白云,同德围,国鑫大厦,3室1厅,99平米,2500
20180826,白云,同德围,积德花园,2室1厅,65平米,2000
20180826,白云,同德围,富林居,3室1厅,85平米,3800
20180826,白云,同德围,同德花园同雅南街,2室1厅,55平米,2100
20180826,白云,同德围,丽康居,3室2厅,90平米,2700
20180826,白云,同德围,岭南花园,3室1厅,109平米,3700
20180826,白云,同德围,上步花园,3室1厅,79平米,1800
20180826,白云,同德围,国鑫大厦,3室2厅,100平米,4000
20180826,白云,同德围,槎龙公安宿舍聚南三街,3室2厅,98平米,1800
20180826,白云,同德围,上步花园,3室1厅,94平米,3500
20180826,白云,同德围,泽德花园,2室1厅,70平米,1900
20180826,白云,同德围,嘉柏居,3室1厅,61平米,3500
20180826,白云,同德围,白云雅苑云雅五街,1室1厅,38平米,1700
20180826,白云,同德围,侨德花园侨德街,1室0厅,20平米,900
20180826,白云,同德围,泽德花园,3室1厅,67平米,2000
20180826,白云,同德围,白云雅苑云雅大街,3室1厅,100平米,3000
20180826,白云,同德围,华德大厦,3室1厅,98平米,3000
20180826,白云,同德围,金德苑,2室1厅,58平米,1700
20180826,白云,同德围,上步花园,3室1厅,100平米,2300
20180826,白云,同德围,上步花园,2室1厅,40平米,1200
20180826,白云,同德围,同逸苑,3室2厅,84平米,3200
20180826,白云,同德围,白云雅苑云雅大街,2室1厅,43平米,1800
20180826,白云,同德围,同德花园同雅南街,1室1厅,33平米,1500
20180826,白云,同德围,康盈雅园,2室1厅,62平米,2600
20180826,白云,同德围,上步花园,2室1厅,55平米,1800
20180826,白云,同德围,德胜花园,1室1厅,32平米,1200
20180826,白云,同德围,国鑫大厦,2室1厅,100平米,2800
20180826,白云,同德围,上步公安宿舍,2室1厅,65平米,1900
20180826,白云,同德围,紫薇苑,2室1厅,72平米,1800
20180826,白云,同德围,同德花园同雅北街,3室2厅,80平米,2700
20180826,白云,同德围,明德苑,2室1厅,60平米,1600
20180826,白云,同德围,阳光花园,1室0厅,24平米,1000
20180826,白云,同德围,白云雅苑云雅大街,1室1厅,50平米,1700
20180826,白云,同德围,槎龙公安宿舍聚南二街,2室1厅,90平米,2700
20180826,白云,同德围,岭南雅院,2室1厅,79平米,3700
20180826,白云,同德围,诚德大厦,1室1厅,37平米,1000
20180826,白云,同德围,丽康居,3室1厅,98平米,3600
20180826,白云,同德围,积德花园,2室1厅,63平米,1400
20180826,白云,同德围,康盈雅园,2室1厅,50平米,2000
20180826,白云,同德围,富林居,2室1厅,60平米,2800
20180826,白云,同德围,同德花园同雅街,2室2厅,70平米,2300
20180826,白云,同德围,康盈雅园,2室1厅,54平米,2600
20180826,白云,同德围,上步花园,1室1厅,35平米,1700
20180826,白云,同德围,岭南花园,1室1厅,44平米,2500
20180826,白云,同德围,泽德花园,3室1厅,65平米,2600
20180826,白云,同德围,泽德花园,1室1厅,40平米,900
20180826,白云,同德围,田心明苑,3室1厅,62平米,2600
20180826,白云,同德围,天德花园,2室1厅,53平米,1800
20180826,白云,同德围,嘉德明苑,3室1厅,71平米,2500
20180826,白云,同德围,上步花园,3室1厅,75平米,2200
20180826,白云,同德围,同德花园同景西街,2室2厅,83平米,2800
20180826,白云,同德围,国鑫大厦,3室1厅,99平米,2500
20180826,白云,同德围,积德花园,2室1厅,65平米,2000
20180826,白云,同德围,华德大厦,3室1厅,98平米,3000
20180826,白云,同德围,白云雅苑云雅大街,3室1厅,100平米,3000
20180826,白云,同德围,白云雅苑云雅大街,2室1厅,43平米,1800
20180826,白云,同德围,同德花园同雅街,2室2厅,70平米,2300
20180826,白云,同德围,同德花园同景东街,2室1厅,75平米,2000
20180826,白云,同德围,丽康居,3室2厅,90平米,2700
20180826,白云,同德围,岭南花园,3室1厅,109平米,3700
20180826,白云,同德围,上步花园,3室1厅,79平米,1800
20180826,白云,同德围,嘉德苑,3室2厅,76平米,3000
20180826,白云,同德围,康盈雅园,2室1厅,54平米,2600
20180826,白云,同德围,上步花园,1室1厅,35平米,1700
20180826,白云,同德围,白云雅苑云雅大街,2室1厅,45平米,1600
20180826,白云,同德围,国鑫大厦,3室2厅,100平米,4000
20180826,白云,同德围,槎龙公安宿舍聚南三街,3室2厅,98平米,1800
20180826,白云,同德围,岭南花园,1室1厅,44平米,2500
20180826,白云,同德围,上步花园,3室1厅,94平米,3500
20180826,白云,同德围,嘉柏居,3室1厅,61平米,3500
20180826,白云,同德围,泽德花园,2室1厅,70平米,1900
20180826,白云,同德围,白云雅苑云雅五街,1室1厅,38平米,1700
20180826,白云,同德围,侨德花园侨德街,1室0厅,20平米,900
20180826,白云,同德围,泽德花园,3室1厅,67平米,2000
